"CD_NOM","NOM_VALIDE","NOM_VERN","LAVERGNE"
"82080","Ambrosia artemisiifolia","Ambroisie à feuille d'armoise","4"
"101286","Heracleum mantegazzianum","Berce du Caucase","4"
"84251","Asclepias syriaca","Asclépiade de Syrie","2 et 2+"
"95983","Elodea nuttallii","Élodée de Nuttall","4"
"101286","Heracleum mantegazzianum","Berce du Caucase","4"
"103547","Impatiens glandulifera","Balsamine de l'Himalaya","4"
"104805","Lagarosiphon major","Grand Lagarosiphon","4"
"106742","Ludwigia grandiflora","Jussie à grandes fleurs","5"
"109141","Myriophyllum aquaticum","Myriophylle du Brésil","4"
"454932","Eichhornia crassipes","Jacinthed'eau","A signaler"
"106748","Ludwigia peploides","Jussierampante","A signaler"
"610602","Lysichiton americanus","Arumbananier","A signaler"
"109144","Myriophyllum heterophyllum","Myriophyllehétérophylle","A signaler"
"79766","Acer negundo","Erable négundo","4"
"80824","Ailanthus altissima","Ailante","4"
"84057","Artemisia verlotiorum","Armoise de Verlot","4"
"85469","Azolla filiculoides","Azolla fausse-fougère","4"
"85957","Bidens frondosa","Bident à fruits noirs","4"
"86869","Buddleja davidii","Arbre aux papillons","4"
"4419","Campylopus introflexus","Mousse cactus (Bryophyte)","4"
"95823","Egeria densa","Egérie dense","4"
"95980","Elodea canadensis","Élodée du Canada","4"
"NOMATCH","NOMATCH","Topinambours et Hélianthes
(groupe)","4"
"101055","Helianthus tuberosus","Topinambours","4"
"101056","Helianthus x laetiflorus","Hélianthes","4"
"106252","Lindernia dubia","Lindernie fausse-gratiole","4"
"112111","Panicum capillare","Millet capillaire","4"
"112463","Parthenocissus inserta","Vigne-vierge commune","4"
"112483","Paspalum distichum","Paspale à deux épis","4"
"NOMATCH","NOMATCH","Renouées du Japon (groupe)","5"
"117503","Reynoutria japonica","Renouées du Japon (groupe)","5"
"117507","Reynoutria x bohemica","Renouées du Japon (groupe)","5"
"117505","Reynoutria sachalinensis","Renouées du Japon (groupe)","5"
"117860","Robinia pseudoacacia","Robinier faux-acacia","5"
"122630","Senecio inaequidens","Séneçon du Cap","4"
"124168","Solidago gigantea","Solidage tardif","4"
"NOMATCH","NOMATCH","Spirée de Douglas (groupe)","4"
"124635","Spiraea douglasii","Spirée de Douglas (groupe)","4"
"124668","Spiraea salicifolia","Spirée de Douglas (groupe)","4"
"NOMATCH","NOMATCH","Spirée de Douglas (groupe)","4"
"124682","Spiraea x pseudosalicifolia","Spirée de Douglas (groupe)","4"
"NOMATCH","NOMATCH","Aster de Nouvelle-Belgique (groupe)","4"
"448412","Symphyotrichum novi-belgii","Aster de Nouvelle-Belgique (groupe)","4"
"125337","Symphyotrichum x salignum","Aster de Nouvelle-Belgique (groupe)","4"
"125338","Symphyotrichum x versicolor","Aster de Nouvelle-Belgique (groupe)","4"
"130484","Xanthium orientale","Lampourde à gros fruits","4"
"79788","Acer saccharinum","Érable argenté, Érable de Virginie","2"
"81978","Amaranthus deflexus","Amarante recourbée","2 et 2+"
"82164","Amorpha fruticosa","Amorphe faux-indigo","2 et 2+"
"83938","Artemisia annua","Armoise annuelle","2 et 2+"
"888732","Bambusoideae","Bambous","2 et 2+"
"85949","Bidens connata","Bident à feuilles connées","2+"
"86975","Bunias orientalis","Bunias d'Orient","2 et 2+"
"86167","Bothriochloa barbinodis","Barbon andropogon","2 et 2+"
"86513","Bromopsis inermis","Brome inerme","2"
"89452","Cedrus atlantica","Cèdre de l'Atlas","2+"
"90111","Cerastium tomentosum","Céraiste tomenteux","2"
"90192","Ceratochloa cathartica","Brome cathartique","2 et 2+"
"717136","Ceratochloa sitchensis","Brome de Sitka","2"
"92572","Cortaderia selloana","Herbe de la Pampa","2 et 2+"
"92663","Cotoneaster horizontalis","Cotonéaster horizontal","2+"
"92793","Crassula helmsii","Crassule de Helms","2 et 2+"
"93129","Crepis sancta","Crépide de Nîmes","2+"
"93613","Cuscuta campestris","Cuscute des champs","2+"
"93923","Cyperus eragrostis","Souchet robuste","2 et 2+"
"94142","Cytisus multiflorus","Cytise à fleurs blanches","2"
"94168","Cytisus striatus","Cytise strié","2 et 2+"
"611753","Dysphania ambrosioides","Chénopode fausse-ambroisie","2 et 2+"
"97346","Eschscholzia californica","Pavot de Californie","2+"
"95679","Echinochloa muricata","Échinochloa épineux","2 et 2+"
"95965","Eleusine indica","Eleusine des Indes","2 et 2+"
"96591","Eragrostis curvula","Éragrostide un peu courbée","2"
"96624","Eragrostis pectinacea","Éragrostide pectinée","2 et 2+"
"96745","Erigeron blakei","Érigéron de Blake","2"
"717180","Erythranthe guttata","Mimule tacheté","2 et 2+"
"97623","Euphorbia prostrata","Euphorbe prostrée","2+"
