"CD_NOM","NOM_VALIDE","LAVERGNE"
"79766","Acer negundo","4"
"79877","Achillea crithmifolia","4"
"80824","Ailanthus altissima","4"
"82080","Ambrosia artemisiifolia","5"
"82164","Amorpha fruticosa","4"
"83938","Artemisia annua","4"
"84057","Artemisia verlotiorum","4"
"85469","Azolla filiculoides","4"
"85957","Bidens frondosa","4"
"86869","Buddleja davidii","5"
"86975","Bunias orientalis","4"
"4419","Campylopus introflexus","5"
"93923","Cyperus eragrostis","4"
"NOMATCH","NOMATCH","4"
"96739","Erigeron annuus","4"
"857334","Sphaerotheca erigerontis-canadensis","4"
"96814","Erigeron sumatrensis","4"
"99260","Galega officinalis","4"
"101055","Helianthus tuberosus","4"
"101286","Heracleum mantegazzianum","4"
"103543","Impatiens balfourii","4"
"103547","Impatiens glandulifera","4"
"103557","Impatiens parviflora","4"
"105433","Lemna minuta","4"
"106252","Lindernia dubia","4"
"106742","Ludwigia grandiflora","5"
"106748","Ludwigia peploides","5"
"109141","Myriophyllum aquaticum","4"
"112111","Panicum capillare","4"
"112463","Parthenocissus inserta","4"
"117503","Reynoutria japonica","5"
"117507","Reynoutria x bohemica","5"
"117860","Robinia pseudoacacia","5"
"122630","Senecio inaequidens","4"
"124164","Solidago canadensis","4"
"124168","Solidago gigantea","5"
"NOMATCH","NOMATCH","5"
"125330","Symphyotrichum lanceolatum","5"
"448412","Symphyotrichum novi-belgii","5"
"125337","Symphyotrichum x salignum","5"
"128504","Vallisneria spiralis","4"
"NOMATCH","NOMATCH","27"
"129961","Vitis rupestris","27"
"129959","Vitis riparia","27"
,,"27"
"130484","Xanthium orientale","4"
"81992","Amaranthus hybridus","3"
"82018","Amaranthus retroflexus","3"
"86513","Bromopsis inermis","3"
"90192","Bromus catharticus","3"
"93129","Crepis sancta","3"
"93924","Cyperus esculentus","3"
"94489","Datura stramonium","3"
"95823","Egeria densa","3"
"95980","Elodea canadensis","3"
"97571","Euphorbia maculata","3"
"97623","Euphorbia prostrata","3"
"99359","Galinsoga quadriradiata","3"
"100330","Gleditsia triacanthos","3"
"159690","Glyceria striata","3"
"103545","Impatiens capensis","3"
"104353","Juncus tenuis","3"
"111881","Oxalis dillenii","3"
"111921","Oxalis fontana","3"
"112130","Panicum dichotomiflorum","3"
"112195","Panicum miliaceum","3"
"112483","Paspalum distichum","3"
"113418","Phytolacca americana","3"
"117505","Reynoutria sachalinensis","3"
"117723","Rhus typhina","3"
"124378","Sorghum halepense","3"
"124719","Sporobolus indicus","3"
,,"3"
"80086","Acorus calamus","2+"
"81955","Amaranthus albus","2+"
"81978","Amaranthus deflexus","2 et 2+"
"82093","Ambrosia trifida","2"
"84251","Asclepias syriaca","2 et 2+"
"85186","Aurinia saxatilis","2"
"85949","Bidens connata","2 et 2+"
"86167","Bothriochloa barbinodis","2 et 2+"
"86817","Broussonetia papyrifera","2"
"89452","Cedrus atlantica","2 et 2+"
"90111","Cerastium tomentosum","2"
"717136","Ceratochloa sitchensis","2"
"90234","Cercis siliquastrum","2"
"92222","Commelina communis","2"
"159937","Cornus sericea","2+"
"92572","Cortaderia selloana","2 et 2+"
