cd_ref	famille	nom_vern_invmmed	nom_taxon_invmed	nom_valide	date_intro	origine	milieux	categorie_paca	
"79684"	"Malvaceae"	"Abutilon d'Avicenne, Abutilon à pétales jaunes, Abutilon de Théophraste"	"Abutilon theophrasti Medik., 1787"	"Abutilon theophrasti Medik., 1787"	"mi-XIXe (1845)"	"Asie"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"79701"	"Fabaceae"	"Acacia à bois dur, Acacia à bois noir"	"Acacia melanoxylon R.Br., 1813"	"Acacia melanoxylon R.Br., 1813"	"XIXe (1835)"	"Océanie"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"79877"	"Asteraceae"	"Achillée à feuilles de crithme, Achillée à feuilles de criste marine"	"Achillea crithmifolia Waldst. & Kit., 1802"	"Achillea crithmifolia Waldst. & Kit., 1802"	""	"Europe (sans bassin méditerranéen)"	"Berges et ripisylves ; Milieux anthropiques"	"Emergente"	
"79890"	"Asteraceae"	"Achillée à feuilles de fougère"	"Achillea filipendulina Lam., 1783"	"Achillea filipendulina Lam., 1783"	""	"Asie"	"Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"80332"	"Crassulaceae"	"Aéonium de Haworth"	"Aeonium haworthii Salm-Dyck ex Webb. & Berthel., 1840 [syn. Aeonium haworthii Webb & Berthel., 1840]"	"Aeonium haworthii Salm-Dyck ex Webb. & Berthel., 1840"	""	"Macaronésie"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Alerte"	
"80331"	"Crassulaceae"	"Aéonium en arbre, Chou en arbre"	"Aeonium arboreum (L.) Webb & Berthel., 1840"	"Aeonium arboreum (L.) Webb & Berthel., 1840"	""	"Afrique"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Alerte"	
"80383"	"Asparagaceae"	"Agave d'Amérique"	"Agave americana L., 1753"	"Agave americana L., 1753"	"XVIe"	"Amérique du Nord"	"Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Milieux anthropiques"	"Majeure"	
"80824"	"Simaroubaceae"	"Ailante glanduleux, Faux vernis du Japon, Ailante, Ailanthe"	"Ailanthus altissima (Mill.) Swingle, 1916"	"Ailanthus altissima (Mill.) Swingle, 1916"	"fin-XVIIIe (1786)"	"Asie"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Majeure"	
"109711"	"Amaryllidaceae"	"Ail inodore, Nothoscordum de la Réunion, Ail odorant"	"Nothoscordum borbonicum Kunth, 1843"	"Nothoscordum borbonicum Kunth, 1843"	"Non connue"	"Amérique du Sud"	"Milieux anthropiques"	"Modérée"	
"81001"	"Lardizabalaceae"	"Akébia, Akébie à cinq feuilles, Liane chocolat"	"Akebia quinata (Thunb. ex Houtt.) Decne., 1839 [syn. Akebia quinata Decne., 1839]"	"Akebia quinata (Thunb. ex Houtt.) Decne., 1839"	"mi-XXe (1952)"	"Asie"	"Berges et ripisylves ; Marais, tourbières, tufières ; Milieux anthropiques"	"Prévention"	
"112401"	"Fabaceae"	"Albizia lophantha, Acacia du Cap, Albizzie à crêtes, Albizia de plumas"	"Paraserianthes lophantha (Willd.) I.C.Nielsen, 1983"	"Paraserianthes lophantha (Willd.) I.C.Nielsen, 1983"	""	"Océanie"	"Berges et ripisylves ; Côtes rocheuses et falaises ; Milieux anthropiques"	"Emergente"	
"611653"	"Asphodelaceae"	"Aloé, Aloès (hybride maculata x striata)"	"Aloe maculata x Aloe striata"	"Aloe maculata x Aloe striata"	""	""	""	"Alerte"	
"81588"	"Asphodelaceae"	"Aloé arborescente, Aloé de Krantz, Aloé candélabre, Aloès candélabre"	"Aloe arborescens Mill., 1768"	"Aloe arborescens Mill., 1768"	""	"Afrique"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Alerte"	
"81595"	"Asphodelaceae"	"Aloé maculé, Aloès maculé"	"Aloe maculata All., 1773"	"Aloe maculata All., 1773"	""	"Afrique"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Alerte"	
"85795"	"Brassicaceae"	"Alysson blanc, Alysse blanche, Bertéroa blanchâtre"	"Berteroa incana (L.) DC., 1821"	"Berteroa incana (L.) DC., 1821"	"mi-XIXe (1850)"	"Europe (sans bassin méditerranéen)"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"81955"	"Amaranthaceae"	"Amarante blanche"	"Amaranthus albus L., 1759"	"Amaranthus albus L., 1759"	"fin-XIXe (1888)"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"81978"	"Amaranthaceae"	"Amarante couchée, Amarante étalée"	"Amaranthus deflexus L., 1771"	"Amaranthus deflexus L., 1771"	""	"Amérique du Sud"	""	"Modérée"	
"81963"	"Amaranthaceae"	"Amarante fausse-blette, Fausse Amarante"	"Amaranthus blitoides S.Watson, 1877"	"Amaranthus blitoides S.Watson, 1877"	""	"Amérique du Nord"	""	"Alerte"	
"81992"	"Amaranthaceae"	"Amarante hybride"	"Amaranthus hybridus L., 1753"	"Amaranthus hybridus L., 1753"	"XVIème siècle"	"Amérique"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"610847"	"Asteraceae"	"Ambroisie à épis lisses, Ambroisie à épis grêles, Ambroisie vivace"	"Ambrosia psilostachya DC., 1836"	"Ambrosia psilostachya DC., 1836"	"fin-XIXe (1897)"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"82080"	"Asteraceae"	"Ambroisie à feuilles d'armoise"	"Ambrosia artemisiifolia L., 1753"	"Ambrosia artemisiifolia L., 1753"	"mi-XIXe (1865)"	"Amérique"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Majeure"	
"82092"	"Asteraceae"	"Ambroisie à petites feuilles, Ambroisie à feuilles fines"	"Ambrosia tenuifolia Spreng., 1826"	"Ambrosia tenuifolia Spreng., 1826"	"déb-XIXe (1839)"	"Amérique du Sud"	"Dunes côtières et plages de sable ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Emergente"	
"82093"	"Asteraceae"	"Ambroisie trifide, Grande herbe à poux"	"Ambrosia trifida L., 1753"	"Ambrosia trifida L., 1753"	"XIXe"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Emergente"	
"82120"	"Lythraceae"	"Ammannia écarlate, Ammannie écarlate"	"Ammannia coccinea Rottb., 1773"	"Ammannia coccinea Rottb., 1773"	""	"Amérique du Nord"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Milieux agricoles"	"Alerte"	
"160299"	"Lythraceae"	"Ammannie robuste"	"Ammannia robusta Heer & Regel, 1842"	"Ammannia robusta Heer & Regel, 1842"	""	"Amérique du Nord"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Milieux agricoles ; Prairies humides"	"Alerte"	
"83469"	"Apocynaceae"	"Araujia porte-soie, Faux-kapok, Liane cruelle"	"Araujia sericifera Brot., 1818"	"Araujia sericifera Brot., 1818"	"XIXe"	"Amérique du Sud"	"Milieux anthropiques"	"Emergente"	
"637107"	"Euphorbiaceae"	"Arbre à suif, Porte-Suif"	"Triadica sebifera (L.) Small, 1933 [syn. Sapium sebiferum (L.) Dum.Cours., 1802]"	"Triadica sebifera (L.) Small, 1933"	"/"	"Asie"	"Forêts et maquis ; Marais, tourbières, tufières ; Milieux anthropiques ; Prairies humides"	"Prévention"	
"83529"	"Asteraceae"	"Arctothèque souci"	"Arctotheca calendula (L.) Levyns, 1942"	"Arctotheca calendula (L.) Levyns, 1942"	"mi-XIXe"	"Afrique"	"Dunes côtières et plages de sable ; Milieux anthropiques"	"Alerte"	
"83938"	"Asteraceae"	"Armoise annuelle"	"Artemisia annua L., 1753"	"Artemisia annua L., 1753"	"XIXe ?"	"Europe (sans bassin méditerranéen)"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"84057"	"Asteraceae"	"Armoise des Frères Verlot, Armoise de Chine"	"Artemisia verlotiorum Lamotte, 1877"	"Artemisia verlotiorum Lamotte, 1877"	"déb-XXe (1902)"	"Asie"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Majeure"	
"85075"	"Amaranthaceae"	"Arroche des jardins, Bonne-Dame"	"Atriplex hortensis L., 1753 [nom. et typ. cons.] [syn. Atriplex hortensis L., 1753]"	"Atriplex hortensis L., 1753 [nom. et typ. cons.]"	""	"Asie"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"130605"	"Araceae"	"Arum d'Éthiopie, Richarde, Calla des fleuristes, Lis du Nil"	"Zantedeschia aethiopica (L.) Spreng., 1826"	"Zantedeschia aethiopica (L.) Spreng., 1826"	"Non connue"	"Afrique"	"Berges et ripisylves ; Milieux anthropiques"	"Alerte"	
"125337"	"Asteraceae"	"Aster à feuilles de saule"	"Symphyotrichum x salignum (Willd.) G.L.Nesom, 1995 [syn. Aster salignus Willd., S. lanceolatum (Willd.) G. L. Nesom × S. novii-belgii (L.) G. L. Nesom]"	"Symphyotrichum x salignum (Willd.) G.L.Nesom, 1995"	"déb-XIXe (1815)"	"Amérique du Nord"	"Berges et ripisylves ; Prairies humides"	"Majeure"	
"125333"	"Asteraceae"	"Aster écailleux"	"Symphyotrichum squamatum (Spreng.) G.L.Nesom, 1995 [syn. Symphyotrichum subulatum var. squamatum (Spreng.) S.D.Sundb., 2004]"	"Symphyotrichum squamatum (Spreng.) G.L.Nesom, 1995"	"déb-XXe (1914)"	"Amérique du Sud"	"Marais, tourbières, tufières ; Milieux agricoles ; Milieux anthropiques ; Prairies humides"	"Majeure"	
"125330"	"Asteraceae"	"Aster lancéolé"	"Symphyotrichum lanceolatum (Willd.) G.L.Nesom, 1995"	"Symphyotrichum lanceolatum (Willd.) G.L.Nesom, 1995"	""	"Amérique du Nord"	"Berges et ripisylves ; Marais, tourbières, tufières ; Milieux anthropiques ; Prairies humides"	"Prévention"	
"81567"	"Betulaceae"	"Aulne cordé, Aulne à feuilles en cœur, Aulne de Corse, Aune cordiforme"	"Alnus cordata (Loisel.) Duby, 1828"	"Alnus cordata (Loisel.) Duby, 1828"	""	"Bassin méditerranéen"	"Berges et ripisylves ; Côtes rocheuses et falaises ; Forêts et maquis ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"85469"	"Salviniaceae"	"Azolla fausse-fougère, Azolla fausse-filicule, Fougère d'eau"	"Azolla filiculoides Lam., 1783"	"Azolla filiculoides Lam., 1783"	"fin-XIXe (1880)"	"Amérique du Nord"	"Eaux courantes ou stagnantes"	"Modérée"	
"103543"	"Balsaminaceae"	"Balsamine de Balfour, Impatiente des jardins"	"Impatiens balfourii Hook.f., 1903 [syn. Impatiens balfouri Hook.f., 1903]"	"Impatiens balfourii Hook.f., 1903"	"déb-XXe (1901)"	"Asie"	"Berges et ripisylves ; Forêts et maquis ; Milieux anthropiques"	"Emergente"	
"103547"	"Balsaminaceae"	"Balsamine de l'Himalaya, Balsamine géante, Balsamine rouge"	"Impatiens glandulifera Royle, 1833"	"Impatiens glandulifera Royle, 1833"	"mi-XIXe (1842)"	"Asie"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"611604"	"Poaceae"	"Bambou doré"	"Phyllostachys aurea Carrière ex Rivière & C.Rivière, 1878"	"Phyllostachys aurea Carrière ex Rivière & C.Rivière, 1878"	"Non connue"	"Asie"	"Berges et ripisylves ; Milieux anthropiques"	"Emergente"	
"113319"	"Poaceae"	"Bambou noir du Japon"	"Phyllostachys nigra (Lodd. ex Lindl.) Munro, 1868"	"Phyllostachys nigra (Lodd. ex Lindl.) Munro, 1868"	"Non connue"	"Asie"	"Berges et ripisylves ; Milieux anthropiques"	"Emergente"	
"611602"	"Poaceae"	"Bambou traçant"	"Phyllostachys flexuosa Rivière & C.Rivière, 1878"	"Phyllostachys flexuosa Rivière & C.Rivière, 1878"	"Non connue"	"Asie"	"Berges et ripisylves ; Milieux anthropiques"	"Prévention"	
