"CD_REF";"LB_NOM";"NOM_VERN";"FAMILLE";"GF"
187079;"Plantae";"Plantes";"";"P"
524113;"Biliphyta";"";"";"P"
705123;"Cosmarium clippertonensis";"";"Desmidiaceae";"A"
349531;"Chlorophyta";"Algues vertes, Chlorophytes";"";"P"
521786;"Ulvophyceae";"";"";"P"
648658;"Trentepohliales";"";"";"P"
648659;"Trentepohliaceae";"";"Trentepohliaceae";"P"
651183;"Printzina";"";"Trentepohliaceae";"P"
651185;"Printzina lagenifera";"";"Trentepohliaceae";"P"
198569;"Trentepohlia";"";"Trentepohliaceae";"P"
652249;"Trentepohlia annulata";"";"Trentepohliaceae";"P"
652250;"Trentepohlia arborum";"";"Trentepohliaceae";"P"
693350;"Trentepohlia bosseae";"";"Trentepohliaceae";"P"
652251;"Trentepohlia chapmanii";"";"Trentepohliaceae";"P"
652252;"Trentepohlia diffracta";"";"Trentepohliaceae";"P"
652253;"Trentepohlia diffracta var. colorata";"";"Trentepohliaceae";"P"
652254;"Trentepohlia dusenii";"";"Trentepohliaceae";"P"
652255;"Trentepohlia flintii";"";"Trentepohliaceae";"P"
652256;"Trentepohlia infestans";"";"Trentepohliaceae";"P"
652260;"Trentepohlia umbrina";"";"Trentepohliaceae";"P"
542871;"Equisetopsida";"Équisétopsides";"";"P"
593946;"Acorales";"Acorales";"";"M"
187428;"Acoraceae";"Acoracées";"Acoraceae";"M"
188769;"Acorus";"Acore, Acorus";"Acoraceae";"M"
80086;"Acorus calamus";"Acore odorant";"Acoraceae";"M"
897113;"Acorus gramineus";"";"Acoraceae";"M"
522745;"Alismatales";"Alismatales";"";"P"
187450;"Alismataceae";"Alismatacées";"Alismataceae";"P"
627816;"Echinodorus";"Échinodore";"Alismataceae";"P"
629596;"Echinodorus berteroi";"Plantain d'eau";"Alismataceae";"A"
731546;"Echinodorus grisebachii";"";"Alismataceae";"P"
842013;"Echinodorus horizontalis";"";"Alismataceae";"P"
735340;"Echinodorus macrophyllus";"";"Alismataceae";"Q"
842015;"Echinodorus paniculatus";"";"Alismataceae";"D"
763120;"Echinodorus scaber";"";"Alismataceae";"P"
631035;"Helanthium zombiense";"";"Alismataceae";"A"
446229;"Hydrocleys";"";"Alismataceae";"D"
447839;"Hydrocleys nymphoides";"";"Alismataceae";"D"
731168;"Limnocharis";"";"Alismataceae";"Q"
735363;"Limnocharis flava";"";"Alismataceae";"Q"
197322;"Sagittaria";"Sagittaire";"Alismataceae";"P"
731547;"Sagittaria guayanensis";"";"Alismataceae";"P"
740485;"Sagittaria guayanensis subsp. guayanensis";"";"Alismataceae";"P"
159961;"Sagittaria lancifolia";"Sagittaire à feuilles lancéolées";"Alismataceae";"P"
740488;"Sagittaria lancifolia subsp. lancifolia";"";"Alismataceae";"P"
735341;"Sagittaria rhombifolia";"";"Alismataceae";"P"
187482;"Araceae";"Aracées";"Araceae";"P"
892499;"Aroideae";"Aroidées";"Araceae";"P"
892510;"Aglaonemateae";"";"Araceae";"M"
446113;"Aglaonema";"Aglaonème, Aglaonéma";"Araceae";"M"
456040;"Aglaonema commutatum";"";"Araceae";"M"
456046;"Aglaonema commutatum 'Silver Queen'";"";"Araceae";"M"
706901;"Typhonium blumei";"";"Araceae";"A"
892500;"Caladieae";"";"Araceae";"P"
446117;"Caladium";"Caladion, Caladium";"Araceae";"P"
447721;"Caladium bicolor";"Songe fleur, Caladium";"Araceae";"P"
629225;"Caladium humboldtii";"";"Araceae";"A"
731562;"Caladium schomburgkii";"";"Araceae";"M"
446127;"Syngonium";"";"Araceae";"P"
447736;"Syngonium angustatum";"";"Araceae";"D"
447737;"Syngonium auritum";"";"Araceae";"D"
731617;"Syngonium hastifolium";"";"Araceae";"D"
630766;"Syngonium podophyllum";"";"Araceae";"P"
911352;"Syngonium podophyllum var. podophyllum";"";"Araceae";"P"
741125;"Syngonium podophyllum var. vellozianum";"";"Araceae";"P"
911353;"Syngonium yurimaguense";"";"Araceae";"D"
446129;"Xanthosoma";"";"Araceae";"P"
911688;"Caladium sect. Cyrtospadix";"";"Araceae";"P"
731619;"Xanthosoma acutum";"";"Araceae";"P"
731620;"Xanthosoma conspurcatum";"";"Araceae";"S"
731621;"Xanthosoma cordatum";"";"Araceae";"Q"
911678;"Xanthosoma cremersii";"";"Araceae";"E"
731622;"Xanthosoma granvillei";"";"Araceae";"E"
630908;"Xanthosoma helleborifolium";"Belembe silvestre";"Araceae";"Q"
911689;"Xanthosoma sect. Xanthosoma";"";"Araceae";"P"
637367;"Xanthosoma mafaffa";"";"Araceae";"M"
911681;"Xanthosoma muluwataya";"";"Araceae";"E"
911248;"Xanthosoma nodosum";"";"Araceae";"E"
447741;"Xanthosoma sagittifolium";"Songe fleur, Tannia, Yautia";"Araceae";"M"
911679;"Xanthosoma sinnamaryense";"";"Araceae";"E"
731623;"Xanthosoma striatipes";"";"Araceae";"P"
731624;"Xanthosoma striolatum";"";"Araceae";"Q"
911680;"Xanthosoma trinitense";"";"Araceae";"E"
630909;"Xanthosoma undipes";"Chou caraïbe";"Araceae";"Q"
637368;"Xanthosoma violaceum";"";"Araceae";"M"
892503;"Colocasieae";"Colocasiées";"Araceae";"I"
446114;"Alocasia";"Alocasie";"Araceae";"I"
447711;"Alocasia cucullata";"";"Araceae";"M"
447713;"Alocasia macrorrhizos";"Taro géant";"Araceae";"I"
629051;"Alocasia sanderiana";"Tête d'âne";"Araceae";"M"
704721;"Colocasia";"Colocase, Colocasia, Colocasie";"Araceae";"M"
447722;"Colocasia esculenta";"Colocase comestible, Songe, Arum, Songe blanc, Songe Caraïbe, Songe gris, Songe noir";"Araceae";"M"
892505;"Montrichardieae";"";"Araceae";"P"
627833;"Montrichardia";"";"Araceae";"P"
630182;"Montrichardia arborescens";"";"Araceae";"P"
731576;"Montrichardia linifera";"";"Araceae";"P"
892502;"Philodendreae";"";"Araceae";"P"
838929;"Adelonema";"";"Araceae";"P"
911347;"Adelonema sect. Curmeria";"";"Araceae";"P"
838931;"Adelonema picturatum";"";"Araceae";"P"
705269;"Homalomena";"Homalomène";"Araceae";"Q"
446124;"Philodendron";"Philodendron";"Araceae";"P"
731578;"Philodendron asplundii";"";"Araceae";"P"
911255;"Philodendron barrosoanum";"";"Araceae";"P"
731579;"Philodendron billietiae";"";"Araceae";"P"
447728;"Philodendron bipennifolium";"";"Araceae";"P"
731580;"Philodendron brevispathum";"";"Araceae";"P"
731581;"Philodendron callosum";"";"Araceae";"P"
740494;"Philodendron callosum subsp. callosum";"";"Araceae";"P"
731582;"Philodendron camposportoanum";"";"Araceae";"P"
911254;"Philodendron carinatum";"";"Araceae";"S"
731583;"Philodendron cremersii";"";"Araceae";"E"
731584;"Philodendron deflexum";"";"Araceae";"P"
731585;"Philodendron duckei";"";"Araceae";"P"
630376;"Philodendron dussii";"";"Araceae";"A"
731586;"Philodendron ecordatum";"";"Araceae";"P"
731587;"Philodendron exile";"";"Araceae";"P"
731588;"Philodendron fragrantissimum";"";"Araceae";"P"
1016037;"Philodendron gloriosum";"";"Araceae";"M"
731590;"Philodendron grandifolium";"";"Araceae";"P"
911253;"Philodendron grandipes";"";"Araceae";"Q"
911252;"Philodendron grenandii";"";"Araceae";"E"
731591;"Philodendron guianense";"";"Araceae";"P"
735343;"Philodendron guttiferum";"";"Araceae";"D"
448613;"Philodendron hederaceum";"";"Araceae";"P"
731592;"Philodendron houlletianum";"";"Araceae";"E"
731593;"Philodendron hylaeae";"";"Araceae";"P"
731594;"Philodendron insigne";"";"Araceae";"P"
911311;"Philodendron subg. Philodendron";"";"Araceae";"P"
911312;"Philodendron subg. Pteromischum";"";"Araceae";"P"
731595;"Philodendron krauseanum";"";"Araceae";"P"
731596;"Philodendron linnaei";"";"Araceae";"P"
731597;"Philodendron macropodum";"";"Araceae";"P"
731598;"Philodendron mawarinumae";"";"Araceae";"D"
731599;"Philodendron melinonii";"";"Araceae";"P"
911251;"Philodendron moonenii";"";"Araceae";"E"
731600;"Philodendron ornatum";"";"Araceae";"P"
447730;"Philodendron pedatum";"";"Araceae";"P"
731601;"Philodendron placidum";"";"Araceae";"P"
731602;"Philodendron platypodum";"";"Araceae";"P"
763179;"Philodendron polypodioides";"";"Araceae";"P"
911454;"Philodendron quinquenervium";"";"Araceae";"P"
735344;"Philodendron roraimae";"";"Araceae";"D"
850647;"Philodendron rudgeanum";"";"Araceae";"P"
779239;"Philodendron scottmorianum";"";"Araceae";"E"
731603;"Philodendron simsii";"";"Araceae";"P"
731605;"Philodendron sphalerum";"";"Araceae";"P"
731606;"Philodendron splitgerberi";"";"Araceae";"P"
731607;"Philodendron squamiferum";"";"Araceae";"P"
731608;"Philodendron surinamense";"";"Araceae";"P"
911250;"Philodendron ushanum";"";"Araceae";"S"
911249;"Philodendron werkhoveniae";"";"Araceae";"S"
731610;"Philodendron wittianum";"";"Araceae";"P"
911257;"Thaumatophyllum";"";"Araceae";"P"
911258;"Thaumatophyllum bipinnatifidum";"";"Araceae";"M"
911290;"Thaumatophyllum solimoesense";"";"Araceae";"P"
763203;"Thaumatophyllum spruceanum";"";"Araceae";"P"
911259;"Thaumatophyllum venezuelense";"";"Araceae";"Q"
838927;"Philonotieae";"";"Araceae";"S"
838925;"Philonotion";"";"Araceae";"S"
838926;"Philonotion americanum";"";"Araceae";"S"
892506;"Pistieae";"Pistiées";"Araceae";"I"
446125;"Pistia";"Pistie, Pistia";"Araceae";"I"
447733;"Pistia stratiotes";"Pistie stratiotes, Laitue d'eau";"Araceae";"J"
892504;"Spathicarpeae";"";"Araceae";"P"
446120;"Dieffenbachia";"Dieffenbachie";"Araceae";"P"
731563;"Dieffenbachia elegans";"";"Araceae";"P"
731564;"Dieffenbachia humilis";"";"Araceae";"P"
731565;"Dieffenbachia paludicola";"";"Araceae";"P"
731566;"Dieffenbachia parvifolia";"";"Araceae";"P"
447726;"Dieffenbachia seguine";"Dieffenbachia des fleuristes";"Araceae";"P"
741115;"Dieffenbachia seguine var. seguine";"";"Araceae";"P"
741117;"Dieffenbachia seguine var. viridis";"";"Araceae";"P"
838922;"Lorenzia";"";"Araceae";"S"
838923;"Lorenzia umbrosa";"";"Araceae";"S"
892495;"Lasioideae";"";"Araceae";"P"
730964;"Anaphyllopsis";"";"Araceae";"P"
731548;"Anaphyllopsis americana";"";"Araceae";"S"
446121;"Dracontium";"";"Araceae";"P"
731567;"Dracontium asperum";"";"Araceae";"D"
911355;"Dracontium guianense";"";"Araceae";"E"
911356;"Dracontium nivosum";"";"Araceae";"D"
731568;"Dracontium polyphyllum";"";"Araceae";"P"
730967;"Urospatha";"";"Araceae";"P"
731618;"Urospatha sagittifolia";"";"Araceae";"P"
741127;"Urospatha sagittifolia var. sagittifolia";"";"Araceae";"P"
892492;"Lemnoideae";"Lemnoïdées";"Araceae";"P"
721796;"Landoltia";"Landoltie";"Araceae";"D"
721797;"Landoltia punctata";"Landoltie ponctuée";"Araceae";"D"
193939;"Lemna";"Lentille d'eau, Lenticule";"Araceae";"P"
105423;"Lemna aequinoctialis";"Lentille d'eau équatoriale";"Araceae";"P"
630021;"Lemna valdiviana";"Lentille d'eau";"Araceae";"A"
197864;"Spirodela";"Spirodèle";"Araceae";"D"
911628;"Spirodela intermedia";"";"Araceae";"D"
630903;"Wolffia brasiliensis";"Vert-de-gris, Lentille d'eau";"Araceae";"A"
628028;"Wolffiella";"";"Araceae";"P"
630904;"Wolffiella lingulata";"Vert-de-gris";"Araceae";"P"
630905;"Wolffiella welwitschii";"";"Araceae";"P"
892494;"Monsteroideae";"";"Araceae";"P"
892518;"Heteropsideae";"";"Araceae";"P"
731232;"Heteropsis";"";"Araceae";"P"
731569;"Heteropsis flexuosa";"";"Araceae";"P"
946952;"Heteropsis flexuosa var. flexuosa";"";"Araceae";"P"
731570;"Heteropsis melinonii";"";"Araceae";"P"
911359;"Heteropsis robusta";"";"Araceae";"D"
731571;"Heteropsis spruceana";"";"Araceae";"P"
731573;"Heteropsis tenuispadix";"";"Araceae";"P"
730968;"Rhodospatha";"";"Araceae";"P"
735345;"Rhodospatha brachypoda";"";"Araceae";"D"
731611;"Rhodospatha latifolia";"";"Araceae";"P"
731612;"Rhodospatha oblongata";"";"Araceae";"P"
731613;"Rhodospatha venosa";"";"Araceae";"P"
730965;"Stenospermation";"";"Araceae";"P"
731616;"Stenospermation multiovulatum";"";"Araceae";"P"
911350;"Stenospermation spruceanum";"";"Araceae";"P"
911351;"Stenospermation zeacarpium";"";"Araceae";"Q"
892523;"Monstereae";"";"Araceae";"P"
446122;"Epipremnum";"";"Araceae";"M"
629652;"Epipremnum aureum";"Pothos, Scindapsus doré, Liane du diable, Arum grimpant";"Araceae";"M"
446123;"Monstera";"Monstère";"Araceae";"P"
630180;"Monstera adansonii";"";"Araceae";"P"
911360;"Monstera adansonii subsp. blanchetii";"";"Araceae";"D"
911363;"Monstera adansonii subsp. klotzschiana";"";"Araceae";"P"
911364;"Monstera adansonii subsp. laniata";"";"Araceae";"P"
779237;"Monstera barrieri";"";"Araceae";"E"
447727;"Monstera deliciosa";"Fruit délicieux, Cérimon, Philodendron";"Araceae";"M"
911368;"Monstera dilacerata";"";"Araceae";"Q"
735342;"Monstera dubia";"";"Araceae";"D"
911462;"Monstera sect. Marcgraviopsis";"";"Araceae";"P"
911458;"Monstera sect. Monstera";"";"Araceae";"P"
911366;"Monstera sect. Tornelia";"";"Araceae";"M"
911371;"Monstera lechleriana";"";"Araceae";"P"
630181;"Monstera obliqua";"";"Araceae";"P"
731575;"Monstera spruceana";"";"Araceae";"P"
892521;"Spathiphylleae";"";"Araceae";"P"
446126;"Spathiphyllum";"";"Araceae";"P"
447734;"Spathiphyllum cannifolium";"Spathiphyllum";"Araceae";"A"
735346;"Spathiphyllum cuspidatum";"";"Araceae";"Q"
630705;"Spathiphyllum floribundum";"";"Araceae";"Q"
731615;"Spathiphyllum humboldtii";"";"Araceae";"P"
911545;"Spathiphyllum sect. Amomophyllum";"";"Araceae";"Q"
911543;"Spathiphyllum sect. Dysspathiphyllum";"";"Araceae";"P"
911542;"Spathiphyllum sect. Spathiphyllum";"";"Araceae";"M"
911553;"Spathiphyllum lanceifolium";"";"Araceae";"Q"
630707;"Spathiphyllum wallisii";"Spathiphyllum";"Araceae";"M"
892493;"Pothoideae";"";"Araceae";"P"
892516;"Anthurieae";"";"Araceae";"P"
446116;"Anthurium";"Anthure, Anthurium";"Araceae";"P"
447716;"Anthurium andraeanum";"Anthure d'André, Anthurium, Anthurium d'André";"Araceae";"M"
731549;"Anthurium bonplandii";"";"Araceae";"P"
740490;"Anthurium bonplandii subsp. bonplandii";"";"Araceae";"P"
740492;"Anthurium bonplandii subsp. guayanum";"";"Araceae";"P"
