"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Ophrys sphegodes Miller";"Ophrys araignée";"Ophrys aranifera Huds., 1778 subsp. aranifera";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"162331"
"";"Ophrys sphegodes Miller";"Ophrys araignée";"Ophrys aranifera subsp. massiliensis (Viglione & Véla) Véla, 2007";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"621126"
"";"Ophrys sphegodes Miller";"Ophrys araignée";"Ophrys aranifera subsp. praecox (Corrias) Véla, 2008";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718256"
"";"Ophrys sphegodes Miller";"Ophrys araignée";"Ophrys aranifera Huds., 1778";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"110345"
"";"Alchemilla charbonneliana Buser";"Alchemille de Charbonnel";"Alchemilla amphisericea Buser, 1906";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"81035"
"";"Allium flavum L.";"Ail jaune";"Allium flavum L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"81376"
"";"Androsace carnea ssp rosea (Jord. & Fourr.) Rouy";"Androsace rosée";"Androsace halleri L., 1753 subsp. halleri";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"967149"
"";"Androsace carnea ssp rosea (Jord. & Fourr.) Rouy";"Androsace rosée";"Androsace halleri subsp. nuria Schönsw. & Schneew., 2015";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"967148"
"";"Androsace carnea ssp rosea (Jord. & Fourr.) Rouy";"Androsace rosée";"Androsace halleri L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"82503"
"";"Androsace elongata L.";"Androsace allongée";"Androsace elongata L., 1763";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"82498"
"";"Arctostaphylos uva ursi (L.) Springel";"Raison d'ours";"Arctostaphylos uva-ursi (L.) Spreng., 1825";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"83528"
"";"Asarina procumbens Miller";"Muflier asaret";"Asarina procumbens (L.) Mill., 1768";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"84229"
"";"Asplenium forisiense Le Grand";"Doradille du Forez";"Asplenium foreziense Le Grand ex Magnier, 1884";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"923640"
"";"Asplenium viride Hudson";"Doradille verte";"Asplenium viride Huds., 1762";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"84540"
"";"Bartsia alpine L.";"Bartsie des Alpes";"Bartsia alpina L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"85602"
"";"Biscutella arvernensis Jordan";"Lunetière d'Auvergne";"Biscutella arvernensis Jord., 1864";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"86017"
"";"Biscutella lamottei Jordan";"Lunetière de Lamotte";"Biscutella lima Rchb., 1832";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"610738"
"";"Bufonia paniculata F. Dubois";"Bufonie paniculée";"Bufonia paniculata Dubois ex Delarbre, 1800";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"86879"
"";"Campanula latifolia L.";"Campanule à larges feuilles";"Campanula latifolia L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"87666"
"";"Campanula rhomboidalis L.";"Campanule rhomboidale";"Campanula rhomboidalis L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"87716"
"";"Cardamine pentaphyllos (L.) Crantz";"Cresson des bois";"Cardamine pentaphyllos (L.) Crantz, 1769";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"87961"
"";"Carduncellus mitissimus (L.) DC.";"Mitine, Cardoncelle";"Carthamus mitissimus L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"89235"
"";"Carduus personata (L.) Jacq";"Chardon bardane";"Carduus personata (L.) Jacq., 1776";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"88178"
"";"Carex cespitosa L.";"Laiche gazonnante";"Carex cespitosa L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"88420"
"";"Carex pauciflora Lightf.";"Laiche pauciflore";"Carex pauciflora Lightf., 1777";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"88762"
"";"Carlina acanthifolia All. spp. cynara (Pourret et Duby) Rouy";"Carline artichaut";"Carlina acanthifolia subsp. cynara (Pourr. ex DC.) Arcang., 1882";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"132840"
"";"Carlina acanthifolia All. ssp. acanthifolia";"Chardousse";"Carlina acanthifolia All., 1773 subsp. acanthifolia";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"132839"
"";"Carlina vulgaris L. ssp. longifolia Nyman";"Carline à longues feuilles";"Carlina biebersteinii Bernh. ex Hornem., 1819 subsp. biebersteinii";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718327"
"";"Carlina vulgaris L. ssp. longifolia Nyman";"Carline à longues feuilles";"Carlina biebersteinii Bernh. ex Hornem., 1819";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"89149"
"";"Cephalanthera damasonium (Miller) Druce";"Céphalanthère blanche";"Cephalanthera damasonium (Mill.) Druce, 1906";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"89920"
"";"Cephalanthera rubra (L.) L.C.M. Richard";"Céphalanthère rouge";"Cephalanthera rubra (L.) Rich., 1817";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"89928"
"";"Ceratophyllum submersum L.";"Cornifle";"Ceratophyllum submersum L., 1763";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"90222"
"";"Cicuta virosa L.";"Cigüe aquatique";"Cicuta virosa L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"91199"
"";"Circea alpina L.";"Circée des Alpes";"Circaea alpina L., 1753 subsp. alpina";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"133298"
"";"Circea alpina L.";"Circée des Alpes";"Circaea alpina L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"91256"
"";"Cochlearia pyrenaica DC.";"Cranson des Pyrénées";"Cochlearia pyrenaica DC., 1821";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"92054"
"";"Convolvulus cantabrica L.";"Liseron des monts Cantabriques, Herbe de Biscaye";"Convolvulus cantabrica L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"92308"
