"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Onosma arenaria Waldst. & Kit. ssp. arenaria";"Orcanette des sables";"Onosma arenaria subsp. pyramidata Braun-Blanq., 1917";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"138235"
"";"Achillea tomentosa L.";"Achillée tomentueuse";"Achillea tomentosa L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"79939"
"";"Airopsis tenella (Cav.) Asch. et Graebn.";"Airopsis délicat";"Airopsis tenella (Cav.) Coss. & Durieu, 1855";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"971406"
"";"Allium angulosum L.";"Ail à tige anguleuse";"Allium angulosum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"81316"
"";"Allium carinatum L. ssp. pulchellum Bonnier et Layens";"Ail joli";"Allium coloratum Spreng., 1825";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"81347"
"";"Allium scorodoprasum L.";"Ail rocambole";"Allium scorodoprasum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"81510"
"";"Androsace chaixii Gren. et Godron";"Androsace de Chaix";"Androsace chaixii Gren., 1853";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"82492"
"";"Androsace elongata L. ssp. Breistrofferii Charpin & Greuter";"Androsace allongée de Breistroffer";"Androsace elongata L., 1763";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"82498"
"";"Arenaria purpurascens Ramond ex DC.";"Sabline pourprée";"Arenaria purpurascens Ramond ex DC., 1805";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"83638"
"";"Artemisia campestris L. ssp. borealis (Pallas) H.M. Hall & Clements";"Armoise boréale";"Artemisia borealis Pall., 1776";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"83951"
"";"Artemisia eriantha Ten.";"Genépi à fleurs cotonneuses";"Artemisia eriantha Ten., 1831";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 3";"83969"
"";"Asperula jordanii Perr. et Song.";"Aspérule de Jordan";"Asperula aristata subsp. oreophila (Briq.) Hayek, 1924";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"131762"
"";"Asplenium cuneifolium Viv.";"Asplenium à feuilles en coin";"Asplenium cuneifolium Viv., 1808 subsp. cuneifolium";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"161077"
"";"Asplenium cuneifolium Viv.";"Asplenium à feuilles en coin";"Asplenium cuneifolium Viv., 1808";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"84476"
"";"Biscutella arvernensis Jordan";"Lunetière d'Auvergne";"Biscutella arvernensis Jord., 1864";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"86017"
"";"Biscutella brevicaulis Jordan";"Lunetière à tige courte";"Biscutella brevicaulis Jord., 1864";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"86021"
"";"Biscutella cichoriifolia Loisel.";"Lunetière à feuille de chicorée";"Biscutella cichoriifolia Loisel., 1810";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"86025"
"";"Bombycilaena erecta (L.) Smolj.";"Micropus dressé";"Bombycilaena erecta (L.) Smoljan., 1955";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"86136"
"";"Butomus umbellatus L.";"Jonc fleuri";"Butomus umbellatus L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"87136"
"";"Calamagrostis canescens (Weber) Roth.";"Calamagrostide blanchâtre";"Calamagrostis canescens (Weber) Roth, 1789 subsp. canescens";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"132377"
"";"Calamagrostis canescens (Weber) Roth.";"Calamagrostide blanchâtre";"Calamagrostis canescens (Weber) Roth, 1789";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"87218"
"";"Cardamine asarifolia L.";"Cardamine à feuilles d'Asaret";"Cardamine asarifolia L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"87897"
