"CD_NOM","NOM_VALIDE","NOM_VERN","INTERET_PACA","PROTECTION_PACA","CARACTERISATION_ECOLOGIQUE_.HABITAT_OPTIMAL.","floraison","changefloraison","Janvier","Février","Mars","Avril","Mai","Juin","Juillet","Août","Septembre","Octobre","Novembre","Décembre"
"75097","Tolypella salina R.Corillion, 1960",,"DD","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"81260","Alisma gramineum Lej., 1811","Flûteau à feuilles de graminée, Plantain-d'eau graminé, Alisme graminé, Alisma graminé","DD","PN","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces stagnantes, moyennement profondes, oligotrophiles","5-9","","","","","","X","X","X","X","X","","",""
"81260","Alisma gramineum Lej., 1811","Flûteau à feuilles de graminée, Plantain-d'eau graminé, Alisme graminé, Alisma graminé","DD","PN","parvogéophytaies amphibies oligotrophiles, centro-européennes, planitiaires-collinéennes","5-9","","","","","","X","X","X","X","X","","",""
"85486","Baldellia ranunculoides (L.) Parl., 1854","Baldellie fausse renoncule, Flûteau fausse renoncule","MODERE","-","parvogéophytaies amphibies exondables, oligotrophiles, atlantiques à subméditerranéennes","5-9","","","","","","X","X","X","X","X","","",""
"87417","Caldesia parnassifolia (L.) Parl., 1860","Caldésie à feuilles de parnassie, Alisme à feuilles de parnassie, Alisma à feuilles de parnassie","FAIBLE","PN","parvoroselières médio-européennes pionnières","8-9","","","","","","","","","X","X","","",""
"94388","Damasonium alisma Mill., 1768","Damasonie plantain-d'eau, Étoile d'eau, Damasonie étoilée, Flûteau étoilé","TRES FORT","PN","annuelles des tonsures hydrophiles (longuement inondables)","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"94392","Damasonium polyspermum Coss., 1849","Damasonie à nombreuses graines, Étoile d'eau à nombreuses graines","TRES FORT","PN","annuelles des tonsures hygrophiles subméditerranéennes, oligotrophiles","5-9","","","","","","X","X","X","X","X","","",""
"106807","Luronium natans (L.) Raf., 1840","Flûteau nageant, Plantain-d'eau nageant, Alisme nageant, Alisma nageant","MAJEUR","PN","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces stagnantes, peu profondes, dystrophiles organiques","5-9","","","","","","X","X","X","X","X","","",""
"119860","Sagittaria sagittifolia L., 1753","Sagittaire à feuilles en flèche, Sagittaire à feuilles en cœur, Flèche-d'eau","TRES FORT","-","herbiers aquatiques, vivaces, enracinés, des eaux douces, courantes, peu profondes","5-8","","","","","","X","X","X","X","","","",""
"119860","Sagittaria sagittifolia L., 1753","Sagittaire à feuilles en flèche, Sagittaire à feuilles en cœur, Flèche-d'eau","TRES FORT","-","parvoroselières circumboréales pionnières","5-8","","","","","","X","X","X","X","","","",""
"101107","Helicodiceros muscivorus (L.f.) Engl., 1879","Hélicodéros mange-mouche, Arum mange-mouche, Petit dragon mange-mouche","MODERE","-","","5-6","","","","","","X","X","","","","","",""
"82095","Ambrosina bassii L., 1764","Ambrosine de Bassi, Ambrosinia de Bassi","MODERE","PN","ourlets mésohydriques, mésoeutrophiles, méditerranéens","12-4","","X","X","X","X","","","","","","","","X"
"87450","Calla palustris L., 1753","Calla des marais, Arum d'eau, Choucelle, Anguine","FAIBLE","PN","magnocariçaies et roselières tourbeuses mésotrophiles, des eaux stagnantes ou à battement vertical","6-8","","","","","","","X","X","X","","","",""
"105441","Lemna trisulca L., 1753","Lentille d'eau à trois lobes, Lenticule à trois lobes, Lentille d'eau à trois sillons","MODERE","-","voiles de lentilles aquatiques, annuelles, libres, flottantes en surface, européennes, mésotrophiles","4-6","","","","","X","X","X","","","","","",""
"87136","Butomus umbellatus L., 1753","Butome en ombelle, Jonc fleuri, Carélé","FORT","-","herbiers aquatiques, vivaces, enracinés, des eaux douces, courantes, peu profondes","6-8","","","","","","","X","X","X","","","",""
"87136","Butomus umbellatus L., 1753","Butome en ombelle, Jonc fleuri, Carélé","FORT","-","parvoroselières médio-européennes pionnières","6-8","","","","","","","X","X","X","","","",""
"137965","Najas marina subsp. armata (H.Lindb.) Horn, 1952","Naïade armée","MODERE","-","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux profondes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"109215","Najas minor All., 1773","Naïade mineure, Petite naïade","MODERE","-","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux profondes","7-9","","","","","","","","X","X","X","","",""
"128504","Vallisneria spiralis L., 1753","Vallisnérie spiralée, Vallisnérie en spirale, Vallisnérie","FAIBLE","PR","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces profondes, eutrophiles à mésotrophiles, planitiaire à collinéen","7-10","","","","","","","","X","X","X","X","",""
"103120","Hydrocharis morsus-ranae L., 1753","Hydrocharide morsure-des-grenouilles, Hydrocharide morène, Hydrocharis morsure-des-grenouilles, Hydrocharis morène, Morène, Petit nénuphar, Hydrocharide","TRES FORT","PR","associations de plantes aquatiques annuelles, méso-eutrophiles","6-8","","","","","","","X","X","X","","","",""
"127537","Triglochin barrelieri Loisel., 1807","Troscart de Barrelier","MODERE","-","micromangroves de bas-niveau topographique (bas-schorre)","3-6","","","","X","X","X","X","","","","","",""
"127537","Triglochin barrelieri Loisel., 1807","Troscart de Barrelier","MODERE","-","végétations herbacées vivaces des prés salés vasicoles hygrophiles, méditerranéens","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"127545","Triglochin laxiflora Guss., 1825","Troscart à fleurs lâches","MODERE","PN","parvogéophytaies amphibies courtement exondables, oligotrophiles, méditerranéennes","9-12","","","","","","","","","","X","X","X","X"
"127546","Triglochin maritima L., 1753","Troscart maritime","TRES FORT","-","végétations herbacées vivaces des prés salés vasicoles hygrophiles (schorre moyen), atlantiques et baltiques","5-9","","","","","","X","X","X","X","X","","",""
"115222","Posidonia oceanica (L.) Delile, 1813","Posidonie océanique, Posidonie, Pelote de mer, Chiendent marin, Paille-de-mer, Zostère océanique","TRES FORT","-","herbiers marins phanérogamiques, thermophiles du zonobiome tempéré chaud méditerranéen","10-6","","X","X","X","X","X","X","","","","X","X","X"
"81869","Althenia filiformis Petit, 1829","Althénie filiforme, Althénia filiforme","FORT","-","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
