"id_unique","cd_ref","lb_nom","N°_Taxinomique_BDNFF","N°_Nomenclatural_BDNFF","code_CATMINAT","NOM_SCIENTIFIQUE","TYPE_BIOLOGIQUE","indicat_phytoscio_caract","caract_eco_hab_optimal","INDICATION_DIFFERENTIELLE_1","INDICATION_DIFFERENTIELLE_2","Lichtzahl","Temperaturzahl","Kontinentalitat","Feuchtzahl","Reaktionszahl","rang_taxinomique","CHOROLOGIE","inflorescence","sexualité","ordre_maturation","pollinisation","fruit","dissémination","couleur_fleur","macule","floraison","type_ligneux","Hauteur_végétative_maximum (m)","MODELE ARCHITECTURAL","FORMATION_VEGETALE","INDICATION_CARACTERISTIQUE_TRANSGRESSIVE","INDICATION_DIFFERENTIELLE_3","Lumière","Température","Continentalité","Humidité_atmosphérique","Humidité_édaphique","Réaction_du_sol_(pH)","Niveau_trophique","Salinité","Texture","Matière_organique","Nutrients","Salz","CLASSE_(-opsida)","SUBCLASSE_(-idae)","Clade_intermédiaire","SUPERORDRE_(-anae)","Clade_intermédiaire_1","Clade_intermédiaire_2","Clade_intermédiaire_3","ORDRE_(-ales)","FAMILLE_(-aceae)","numSpA","numSpB","numSpH","nomA","nomB","nomH","Life strategy"
"1",1000304,"Cherleria laricifolia","2113","126106","09/1.0.2.0.5","Cherleria laricifolia (L.) Iamonico, 2016","hces","Festucion acuminatae Braun–Blanquet 1926","pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte méridional","cyme bipare","hermaphrodite",NULL,"entomogame","capsule","barochore","blanc",NULL,NULL,NULL,NULL,"Stone","hémicryptophytaie",NULL,NULL,8,2,5,5,4,2,2,0,5,5,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Caryophyllanae","Eudicots","Eudicots","Eudicots","Caryophyllales","Caryophyllaceae",0,0,1055,NULL,NULL,"Minuartia laricifolia",NULL
"2",1000311,"Cherleria laricifolia subsp. diomedis","2114","126108","08/2.1.1.0.3","Cherleria laricifolia subsp. diomedis (Braun-Blanq.) A.J.Moore & Dillenb., 2017","csuf","Saxifragion bryoidis Nègre 1968","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines, pyrénéennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"subsp","orophyte pyrénéo-auvergnat","cyme bipare","hermaphrodite",NULL,"entomogame","capsule","barochore","blanc",NULL,"7-8",NULL,NULL,"Stone","hémicryptophytaie",NULL,NULL,7,2,3,5,5,5,3,0,7,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Caryophyllanae","Eudicots","Eudicots","Eudicots","Caryophyllales","Caryophyllaceae",0,0,1483,NULL,NULL,"Saxifraga retusa",NULL
"3",1000312,"Cherleria laricifolia subsp. laricifolia","12693","126107","09/1.0.2.0.5","Cherleria laricifolia subsp. laricifolia (L.) Iamonico, 2016","hces","Festucion acuminatae Braun–Blanquet 1926","pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"subsp","orophyte alpien","cyme bipare","hermaphrodite",NULL,"entomogame","capsule","barochore","blanc",NULL,"7-8",NULL,NULL,"Stone","hémicryptophytaie",NULL,NULL,8,2,5,5,4,2,2,0,5,5,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Caryophyllanae","Eudicots","Eudicots","Eudicots","Caryophyllales","Caryophyllaceae",0,0,1055,NULL,NULL,"Minuartia laricifolia",NULL
"4",100033,"Geranium bohemicum","3417","29923","13/6.0.1.0.1","Geranium bohemicum L., 1756","hbis","Galio aparines–Alliarion petiolatae Oberdorfer & Lohmeyer in Oberdorfer, Görs, Korneck, Lohmeyer, Müller, Philippi & Seibert 1967","annuelles pionnières nitrophiles des clairières et lisières européennes, psychrophiles, hémisciaphiles, mésohydriques",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","européen","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore","rose",NULL,NULL,NULL,"0.6","Acosta","thérophytaie",NULL,NULL,6,3,6,5,5,7,6,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1892,NULL,NULL,"Geranium bohemicum",NULL
"5",100045,"Geranium columbinum","3419","29935","13/5.","Geranium columbinum L., 1753","test","Cardaminetea hirsutae Géhu 1999","ourlets thérophytiques vernaux, nitrophiles, méridionaux, hémisciaphiles à hémihéliophiles","Drabo muralis - Cardaminion hirsutae de Foucault 1988",NULL,"7","6","4","4","7","esp","eurasiatique","racème de cymes unipares hélicoïdes","gynodioïque","homogame","entomogame, autogame","capsule","autochore","rose",NULL,"5-8",NULL,"0.6","Acosta","thérophytaie",NULL,NULL,6,5,5,5,5,7,7,0,3,2,"7","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"6",100053,"Geranium divaricatum","3421","29942","13/4.0.3.0.1","Geranium divaricatum Ehrh., 1792","test","Chenopodion muralis Braun–Blanquet in Braun–Blanquet, Gajewski, Wraber & Walas 1936","friches annuelles rudérales, nitrophiles, estivales, thermophiles, euryméditerranéennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","eurasiatique","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore","rose",NULL,"7-8",NULL,NULL,"Stone","thérophytaie",NULL,NULL,7,6,4,5,5,7,6,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1893,NULL,NULL,"Geranium divaricatum",NULL
"7",100059,"Geranium endressii","3422","29947","05/2.0.3.0.1","Geranium endressii J.Gay, 1832","grhi","Filipendulo ulmariae–Cirsion rivularis de Foucault 1984 em. Passarge 1988","mégaphorbiaies boréomontagnardes ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte pyrénéen","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore","rose",NULL,"6-7",NULL,"0.8","Bell","hémicryptophytaie",NULL,NULL,6,2,6,8,7,7,7,0,1,8,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,10401,NULL,NULL,"Geranium endressii",NULL
"8",1000842,"Dianthus superbus var. superbus","9793","22317","06/1.1.2.0.5","Dianthus superbus var. superbus L., 1753","heri","Molinion caeruleae Koch 1926 em. Braun–Blanquet 1947","moliniaies des prés paratourbeux médio-européens, basophiles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"var(uni)","eurasiatique","cyme bipare","hermaphrodite",NULL,"entomogame","capsule","barochore","rose",NULL,"6-9",NULL,"0.5","Stone","hémicryptophytaie",NULL,NULL,7,5,6,8,8,8,2,0,1,9,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Caryophyllanae","Eudicots","Eudicots","Eudicots","Caryophyllales","Caryophyllaceae",0,0,985,NULL,NULL,"Dianthus superbus",NULL
"9",100085,"Geranium lucidum","3425","29976","13/5.","Geranium lucidum L., 1753","test","Cardaminetea hirsutae Géhu 1999","ourlets thérophytiques vernaux, nitrophiles, méridionaux, hémisciaphiles à hémihéliophiles",NULL,NULL,"5","7","2","5","7","esp","méditerranéen(eury)-atlantique(eury)","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame, autogame","capsule","autochore","rose",NULL,"5-8",NULL,"0.4","Acosta","thérophytaie",NULL,NULL,5,7,3,5,5,7,6,0,4,3,"8","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1885,NULL,NULL,"Geranium lucidum",NULL
"10",100087,"Geranium macrorrhizum","3426","29979","08/2.2.1.0.10","Geranium macrorrhizum L., 1753","grhi","Potentillion caulescentis Braun–Blanquet in Braun–Blanquet & Jenny 1926","lithophytes des dalles en pente de falaises basophiles, subalpins à montagnards, alpiens et auvergnat",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","européen méridional","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore","rose",NULL,"7-8",NULL,NULL,"Leeuwenberg","hémicryptophytaie",NULL,NULL,3,3,7,5,5,8,4,0,7,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1901,NULL,NULL,"Geranium macrorrhizum",NULL
