"CD_NOM","LB_NOM","TRIGRAMME"
199015,"+ Laburnocytisus","+ Laburnocytisus"
162468,"+ Laburnocytisus adamii","+ LLab2"
196984,"+ Pyrocydonia","+ Pyrocydonia"
116526,"+ Pyrocydonia daniellii","+ PPyr2"
606842,"Aaronsohnia","Aaronsohnia"
610592,"Aaronsohnia pubescens","Aarpub"
788758,"Abelia","Abelia"
788814,"Abelia x grandiflora","Abexgra"
188665,"Abies","Abies"
79319,"Abies alba","Abialb"
610721,"Abies alba x Abies nordmanniana","AbialbxAbinor"
717018,"Abies amabilis","Abiama"
717022,"Abies balsamea","Abibal"
1047109,"Abies balsamea var. balsamea","Abibalbal"
79323,"Abies bornmuelleriana","Abibor"
717023,"Abies bracteata","Abibra"
79325,"Abies cephalonica","Abicep"
717024,"Abies chensiensis","Abiche"
1047112,"Abies chensiensis var. chensiensis","Abicheche"
1047118,"Abies chensiensis var. ernestii","Abicheern"
717025,"Abies cilicica","Abicil"
79327,"Abies concolor","Abicon"
717026,"Abies delavayi","Abidel"
1047115,"Abies delavayi var. delavayi","Abideldel"
1047116,"Abies delavayi var. fabri","Abidelfab"
789046,"Abies equi-trojani","Abiequ"
717029,"Abies firma","Abifir"
717030,"Abies forrestii","Abifor"
1047120,"Abies forrestii var. forrestii","Abiforfor"
1047121,"Abies forrestii var. georgei","Abiforgeo"
789168,"Abies fraseri","Abifra"
79333,"Abies grandis","Abigra"
717033,"Abies holophylla","Abihol"
717034,"Abies kawakamii","Abikaw"
717035,"Abies koreana","Abikor"
717036,"Abies lasiocarpa","Abilas"
718626,"Abies lasiocarpa var. arizonica","Abilasari"
718628,"Abies lasiocarpa var. lasiocarpa","Abilaslas"
717037,"Abies magnifica","Abimag"
1047122,"Abies magnifica var. magnifica","Abimagmag"
717038,"Abies nebrodensis","Abineb"
79345,"Abies nordmanniana","Abinor"
717039,"Abies numidica","Abinum"
717040,"Abies pindrow","Abipin"
79349,"Abies pinsapo","Abipin2"
79350,"Abies procera","Abipro"
717041,"Abies recurvata","Abirec"
717042,"Abies sibirica","Abisib"
944525,"Abies spectabilis","Abispe"
717044,"Abies squamata","Abisqu"
610720,"Abies veitchii","Abivei"
1047123,"Abies veitchii var. veitchii","Abiveivei"
717045,"Abies x borisii-regis","Abixbor"
79354,"Abies x insignis","Abixins"
717046,"Abies x vilmorinii","Abixvil"
1030383,"Abieteae","Abieteae"
433851,"Abietinella","Abietinella"
5422,"Abietinella abietina","Abiabi"
434642,"Abietinella abietina var. abietina","Abiabiabi"
434643,"Abietinella abietina var. hystricosa","Abiabihys"
1030380,"Abietoideae","Abietoideae"
188678,"Abutilon","Abutilon"
445747,"Abutilon grandifolium","Abugra"
79684,"Abutilon theophrasti","Abuthe"
188680,"Acacia","Acacia"
79687,"Acacia baileyana","Acabai"
79689,"Acacia cultriformis","Acacul"
717047,"Acacia cyclops","Acacyc"
79691,"Acacia dealbata","Acadea"
79692,"Acacia decurrens","Acadec"
79698,"Acacia longifolia","Acalon"
956657,"Acacia longifolia subsp. longifolia","Acalonlon"
956655,"Acacia longifolia subsp. sophorae","Acalonsop"
79700,"Acacia mearnsii","Acamea"
79701,"Acacia melanoxylon","Acamel"
717048,"Acacia paradoxa","Acapar"
79704,"Acacia pravissima","Acapra"
79706,"Acacia pycnantha","Acapyc"
79707,"Acacia retinodes","Acaret"
79708,"Acacia riceana","Acaric"
79709,"Acacia salicina","Acasal"
79710,"Acacia saligna","Acasal2"
79711,"Acacia verticillata","Acaver"
188683,"Acalypha","Acalypha"
79713,"Acalypha virginica","Acavir"
902566,"Acalypheae","Acalypheae"
902570,"Acalyphinae","Acalyphinae"
902560,"Acalyphoideae","Acalyphoideae"
187410,"Acanthaceae","Acanthaceae"
910519,"Acantheae","Acantheae"
1002384,"Acanthinae","Acanthinae"
910518,"Acanthoideae","Acanthoideae"
354596,"Acanthophora","Acanthophora"
370859,"Acanthophora nayadiformis","Acanay"
715600,"Acanthoprasium","Acanthoprasium"
79716,"Acanthoprasium frutescens","Acafru"
188713,"Acanthospermum","Acanthospermum"
160344,"Acanthospermum humile","Acahum"
188714,"Acanthosphaera","Acanthosphaera"
73398,"Acanthosphaera zachariasii","Acazac"
188719,"Acanthus","Acanthus"
611761,"Acanthus arboreus","Acaarb"
788767,"Acanthus hungaricus","Acahun"
79721,"Acanthus mollis","Acamol"
79723,"Acanthus spinosus","Acaspi"
188727,"Acaulon","Acaulon"
434166,"Acaulon casasianum","Acacas"
4858,"Acaulon fontiquerianum","Acafon"
4860,"Acaulon mediterraneum","Acamed"
4859,"Acaulon muticum","Acamut"
4862,"Acaulon triquetrum","Acatri"
705763,"Acca sellowiana","Accsel"
188731,"Acer","Acer"
79734,"Acer campestre","Acecam"
79735,"Acer cappadocicum","Acecap"
130702,"Acer cappadocicum subsp. cappadocicum","Acecapcap"
1077780,"Acer cappadocicum subsp. divergens","Acecapdiv"
721932,"Acer cappadocicum subsp. lobelii","Acecaplob"
1077778,"Acer cappadocicum subsp. sinicum","Acecapsin"
79742,"Acer davidii","Acedav"
79755,"Acer japonicum","Acejap"
610730,"Acer mono","Acemon"
79763,"Acer monspessulanum","Acemon2"
79766,"Acer negundo","Aceneg"
130708,"Acer negundo subsp. negundo","Acenegneg"
79770,"Acer opalus","Aceopa"
130714,"Acer opalus subsp. obtusatum","Aceopaobt"
130715,"Acer opalus subsp. opalus","Aceopaopa"
79775,"Acer palmatum","Acepal"
1077699,"Acer pensylvanicum","Acepen"
610733,"Acer pictum","Acepic"
79779,"Acer platanoides","Acepla"
79783,"Acer pseudoplatanus","Acepse"
610731,"Acer rubrum","Acerub"
717049,"Acer rufinerve","Aceruf"
79788,"Acer saccharinum","Acesac"
610732,"Acer tataricum","Acetat"
612608,"Acer tataricum subsp. ginnala","Acetatgin"
612607,"Acer tataricum subsp. tataricum","Acetattat"
79803,"Acer x bornmuelleri","Acexbor"
79804,"Acer x coriaceum","Acexcor"
79806,"Acer x guyotii","Acexguy"
79807,"Acer x hybridum","Acexhyb"
79810,"Acer x peronae","Acexper"
79812,"Acer x ramosum","Acexram"
79813,"Acer x rotundilobum","Acexrot"
79814,"Acer x sabaudum","Acexsab"
79815,"Acer x zoeschense","Acexzoe"
894866,"Acereae","Acereae"
355155,"Acetabularia","Acetabularia"
372244,"Acetabularia acetabulum","Aceace"
188746,"Achillea","Achillea"
79865,"Achillea ageratum","Achage"
79867,"Achillea aspleniifolia","Achasp"
79868,"Achillea atrata","Achatr"
79874,"Achillea chamaemelifolia","Achcha"
610734,"Achillea coarctata","Achcoa"
896277,"Achillea collina","Achcol"
79877,"Achillea crithmifolia","Achcri"
79886,"Achillea distans","Achdis"
130725,"Achillea distans subsp. distans","Achdisdis"
612382,"Achillea distans subsp. stricta","Achdisstr"
130726,"Achillea distans subsp. tanacetifolia","Achdistan"
79887,"Achillea erba-rotta","Acherb"
130727,"Achillea erba-rotta subsp. ambigua","Acherbamb"
130728,"Achillea erba-rotta subsp. erba-rotta","Acherberb"
130729,"Achillea erba-rotta subsp. moschata","Acherbmos"
79890,"Achillea filipendulina","Achfil"
79903,"Achillea ligustica","Achlig"
79905,"Achillea macrophylla","Achmac"
610735,"Achillea maritima","Achmar"
79908,"Achillea millefolium","Achmil"
79913,"Achillea nana","Achnan"
79914,"Achillea nobilis","Achnob"
130746,"Achillea nobilis subsp. nobilis","Achnobnob"
79915,"Achillea odorata","Achodo"
79917,"Achillea pannonica","Achpan"
717711,"Achillea pratensis","Achpra"
79921,"Achillea ptarmica","Achpta"
130749,"Achillea ptarmica subsp. ptarmica","Achptapta"
130750,"Achillea ptarmica subsp. pyrenaica","Achptapyr"
160347,"Achillea punctata","Achpun"
79923,"Achillea roseo-alba","Achros"
79927,"Achillea setacea","Achset"
79939,"Achillea tomentosa","Achtom"
717050,"Achillea x bronchalensis","Achxbro"
79945,"Achillea x commutata","Achxcom"
79946,"Achillea x feliciana","Achxfel"
988899,"Achillea x intermedia","Achxint"
79950,"Achillea x laggeri","Achxlag"
79953,"Achillea x lereschei","Achxler"
79954,"Achillea x maxima","Achxmax"
79959,"Achillea x pseudodorata","Achxpse"
79960,"Achillea x ruscinonensis","Achxrus"
79961,"Achillea x schneideri","Achxsch"
79962,"Achillea x schroeteri","Achxsch2"
79963,"Achillea x thomasiana","Achxtho"
79965,"Achillea x trautmannii","Achxtra"
79966,"Achillea x valesiaca","Achxval"
79967,"Achillea x wilczekiana","Achxwil"
188748,"Achnatherum","Achnatherum"
717051,"Achnatherum bromoides","Achbro"
79970,"Achnatherum calamagrostis","Achcal"
884085,"Achyranthoideae","Achyranthoideae"
788762,"Acicarpha","Acicarpha"
788849,"Acicarpha spathulata","Acispa"
788850,"Acicarpha tribuloides","Acitri"
606843,"Aciphylla","Aciphylla"
610605,"Aciphylla aurea","Aciaur"
610606,"Aciphylla colensoi","Acicol"
610603,"Aciphylla scott-thomsonii","Acisco"
610604,"Aciphylla squarrosa","Acisqu"
606844,"Acis","Acis"
610607,"Acis fabrei","Acifab"
80000,"Acis longifolia","Acilon"
610608,"Acis nicaeensis","Acinic"
80003,"Acis rosea","Aciros"
607063,"Acmella","Acmella"
610574,"Acmella leptophylla","Acmlep"
715604,"Acmispon","Acmispon"
717052,"Acmispon americanus","Acmame"
188767,"Aconitum","Aconitum"
80007,"Aconitum anthora","Acoant"
1079427,"Aconitum anthora subsp. anthora","Acoantant"
80008,"Aconitum bauhinii","Acobau"
80009,"Aconitum burnatii","Acobur"
788895,"Aconitum carmichaelii","Acocar"
80014,"Aconitum corsicum","Acocor"
80016,"Aconitum degenii","Acodeg"
1055726,"Aconitum degenii nothosubsp. gandogeri","Acodeggan"
130762,"Aconitum degenii subsp. paniculatum","Acodegpan"
130763,"Aconitum degenii subsp. valesiacum","Acodegval"
80034,"Aconitum lycoctonum","Acolyc"
130771,"Aconitum lycoctonum subsp. lycoctonum","Acolyclyc"
130772,"Aconitum lycoctonum subsp. neapolitanum","Acolycnea"
80037,"Aconitum napellus","Aconap"
1055958,"Aconitum napellus","Aconap2"
80043,"Aconitum nevadense","Aconev"
1055713,"Aconitum vivantii","Acoviv"
80069,"Aconitum vulgare","Acovul"
1055733,"Aconitum x acuminatum","Acoxacu"
80073,"Aconitum x cammarum","Acoxcam"
187428,"Acoraceae","Acoraceae"
593946,"Acorales","AcoMar"
188769,"Acorus","Acorus"
80086,"Acorus calamus","Acocal"
188242,"Acrochaetiaceae","Acrochaetiaceae"
188209,"Acrochaetiales","AcrFel"
349681,"Acrochaetium","Acrochaetium"
366057,"Acrochaetium alariae","Acrala"
851065,"Acrochaetium armoricanum","Acrarm"
850734,"Acrochaetium boergesenii","Acrboe"
366064,"Acrochaetium cheminii","Acrche"
366055,"Acrochaetium duboscqii","Acrdub"
77236,"Acrochaetium endozoicum","Acrend"
366049,"Acrochaetium hauckii","Acrhau"
366056,"Acrochaetium humile","Acrhum"
366067,"Acrochaetium immersum","Acrimm"
627629,"Acrochaetium immersum f. polysiphoniae","Acrimmpol"
542709,"Acrochaetium irregulare","Acrirr"
627523,"Acrochaetium kuckuckianum","Acrkuc"
627540,"Acrochaetium laminariae","Acrlam2"
366063,"Acrochaetium lorrain-smithiae","Acrlor"
648615,"Acrochaetium mahumetanum","Acrmah"
627524,"Acrochaetium maluinum","Acrmal"
366104,"Acrochaetium mediterraneum","Acrmed"
366078,"Acrochaetium microscopicum","Acrmic"
366081,"Acrochaetium molinieri","Acrmol"
366082,"Acrochaetium moniliforme","Acrmon"
366102,"Acrochaetium parvulum","Acrpar"
627541,"Acrochaetium pusillum","Acrpus2"
366089,"Acrochaetium reductum","Acrred"
669527,"Acrochaetium rosulatum","Acrros"
77238,"Acrochaetium secundatum","Acrsec"
1042069,"Acrochaetium secundatum var. crassitrichum","Acrseccra"
932455,"Acrochaetium sparsum","Acrspa"
924610,"Acrochaetium spathoglossi","Acrspa2"
648617,"Acrochaetium spermatochni","Acrspe"
366099,"Acrochaetium stilophorae","Acrsti"
366100,"Acrochaetium subpinnatum","Acrsub2"
366101,"Acrochaetium subseriatum","Acrsub3"
366105,"Acrochaetium unifilum","Acruni"
353797,"Acrodiscus","Acrodiscus"
368859,"Acrodiscus vidovichii","Acrvid"
349683,"Acrosiphonia","Acrosiphonia"
366118,"Acrosiphonia arcta","Acrarc"
366119,"Acrosiphonia arctiuscula","Acrarc2"
72436,"Acrosiphonia spinescens","Acrspi"
354567,"Acrosorium","Acrosorium"
542593,"Acrosorium ciliolatum","Acrcil"
351530,"Acrosymphytaceae","Acrosymphytaceae"
