"CD_NOM","LB_NOM"
199015,"+ Laburnocytisus"
162468,"+ Laburnocytisus adamii"
196984,"+ Pyrocydonia"
116526,"+ Pyrocydonia daniellii"
606842,"Aaronsohnia"
610592,"Aaronsohnia pubescens"
788758,"Abelia"
788814,"Abelia x grandiflora"
188665,"Abies"
79319,"Abies alba"
610721,"Abies alba x Abies nordmanniana"
717018,"Abies amabilis"
717022,"Abies balsamea"
79323,"Abies bornmuelleriana"
717023,"Abies bracteata"
79325,"Abies cephalonica"
717024,"Abies chensiensis"
717025,"Abies cilicica"
79327,"Abies concolor"
717026,"Abies delavayi"
789046,"Abies equi-trojani"
717027,"Abies ernestii"
717028,"Abies fabri"
717029,"Abies firma"
717030,"Abies forrestii"
717031,"Abies georgei"
79333,"Abies grandis"
717033,"Abies holophylla"
717034,"Abies kawakamii"
717035,"Abies koreana"
717036,"Abies lasiocarpa"
159901,"Abies lowiana"
717037,"Abies magnifica"
717038,"Abies nebrodensis"
79345,"Abies nordmanniana"
717039,"Abies numidica"
79346,"Abies pardei"
717040,"Abies pindrow"
79349,"Abies pinsapo"
79350,"Abies procera"
717041,"Abies recurvata"
717042,"Abies sibirica"
944525,"Abies spectabilis"
717044,"Abies squamata"
610720,"Abies veitchii"
717045,"Abies x borisii-regis"
79354,"Abies x insignis"
717046,"Abies x vilmorinii"
1030383,"Abieteae"
433851,"Abietinella"
5422,"Abietinella abietina"
434642,"Abietinella abietina var. abietina"
434643,"Abietinella abietina var. hystricosa"
1030380,"Abietoideae"
188678,"Abutilon"
445747,"Abutilon grandifolium"
79684,"Abutilon theophrasti"
188680,"Acacia"
79687,"Acacia baileyana"
79689,"Acacia cultriformis"
717047,"Acacia cyclops"
79691,"Acacia dealbata"
79692,"Acacia decurrens"
79698,"Acacia longifolia"
956657,"Acacia longifolia subsp. longifolia"
956655,"Acacia longifolia subsp. sophorae"
79700,"Acacia mearnsii"
79701,"Acacia melanoxylon"
717048,"Acacia paradoxa"
79704,"Acacia pravissima"
79706,"Acacia pycnantha"
79707,"Acacia retinodes"
79708,"Acacia riceana"
79709,"Acacia salicina"
79710,"Acacia saligna"
79711,"Acacia verticillata"
188683,"Acalypha"
79713,"Acalypha virginica"
902566,"Acalypheae"
902570,"Acalyphinae"
902560,"Acalyphoideae"
187410,"Acanthaceae"
910519,"Acantheae"
1002384,"Acanthinae"
910518,"Acanthoideae"
354596,"Acanthophora"
370859,"Acanthophora nayadiformis"
715600,"Acanthoprasium"
79716,"Acanthoprasium frutescens"
188713,"Acanthospermum"
160344,"Acanthospermum humile"
188714,"Acanthosphaera"
73398,"Acanthosphaera zachariasii"
188719,"Acanthus"
611761,"Acanthus arboreus"
788767,"Acanthus hungaricus"
79721,"Acanthus mollis"
79723,"Acanthus spinosus"
188727,"Acaulon"
434166,"Acaulon casasianum"
4858,"Acaulon fontiquerianum"
4860,"Acaulon mediterraneum"
4859,"Acaulon muticum"
4862,"Acaulon triquetrum"
705763,"Acca sellowiana"
188731,"Acer"
79734,"Acer campestre"
79735,"Acer cappadocicum"
130702,"Acer cappadocicum subsp. cappadocicum"
79742,"Acer davidii"
79755,"Acer japonicum"
610730,"Acer mono"
79763,"Acer monspessulanum"
79766,"Acer negundo"
130708,"Acer negundo subsp. negundo"
79770,"Acer opalus"
130714,"Acer opalus subsp. obtusatum"
130715,"Acer opalus subsp. opalus"
79775,"Acer palmatum"
610733,"Acer pictum"
79779,"Acer platanoides"
79783,"Acer pseudoplatanus"
610731,"Acer rubrum"
717049,"Acer rufinerve"
79788,"Acer saccharinum"
610732,"Acer tataricum"
612608,"Acer tataricum subsp. ginnala"
612607,"Acer tataricum subsp. tataricum"
79803,"Acer x bornmuelleri"
79804,"Acer x coriaceum"
79806,"Acer x guyotii"
79807,"Acer x hybridum"
79810,"Acer x peronae"
79812,"Acer x ramosum"
79813,"Acer x rotundilobum"
79814,"Acer x sabaudum"
79815,"Acer x zoeschense"
894866,"Acereae"
355155,"Acetabularia"
372244,"Acetabularia acetabulum"
188746,"Achillea"
79865,"Achillea ageratum"
79867,"Achillea aspleniifolia"
79868,"Achillea atrata"
79874,"Achillea chamaemelifolia"
610734,"Achillea coarctata"
896277,"Achillea collina"
79877,"Achillea crithmifolia"
79886,"Achillea distans"
130725,"Achillea distans subsp. distans"
612382,"Achillea distans subsp. stricta"
130726,"Achillea distans subsp. tanacetifolia"
79887,"Achillea erba-rotta"
130727,"Achillea erba-rotta subsp. ambigua"
130728,"Achillea erba-rotta subsp. erba-rotta"
130729,"Achillea erba-rotta subsp. moschata"
79890,"Achillea filipendulina"
79903,"Achillea ligustica"
79905,"Achillea macrophylla"
610735,"Achillea maritima"
79908,"Achillea millefolium"
79913,"Achillea nana"
79914,"Achillea nobilis"
130746,"Achillea nobilis subsp. nobilis"
79915,"Achillea odorata"
79917,"Achillea pannonica"
717711,"Achillea pratensis"
79921,"Achillea ptarmica"
130749,"Achillea ptarmica subsp. ptarmica"
130750,"Achillea ptarmica subsp. pyrenaica"
160347,"Achillea punctata"
79923,"Achillea roseo-alba"
79927,"Achillea setacea"
79939,"Achillea tomentosa"
717050,"Achillea x bronchalensis"
79945,"Achillea x commutata"
79946,"Achillea x feliciana"
988899,"Achillea x intermedia"
79950,"Achillea x laggeri"
79953,"Achillea x lereschei"
79954,"Achillea x maxima"
79959,"Achillea x pseudodorata"
79960,"Achillea x ruscinonensis"
79961,"Achillea x schneideri"
79962,"Achillea x schroeteri"
79963,"Achillea x thomasiana"
79965,"Achillea x trautmannii"
79966,"Achillea x valesiaca"
79967,"Achillea x wilczekiana"
188748,"Achnatherum"
717051,"Achnatherum bromoides"
79970,"Achnatherum calamagrostis"
884085,"Achyranthoideae"
788762,"Acicarpha"
788849,"Acicarpha spathulata"
788850,"Acicarpha tribuloides"
606843,"Aciphylla"
610605,"Aciphylla aurea"
610606,"Aciphylla colensoi"
610603,"Aciphylla scott-thomsonii"
610604,"Aciphylla squarrosa"
606844,"Acis"
610607,"Acis fabrei"
80000,"Acis longifolia"
610608,"Acis nicaeensis"
80003,"Acis rosea"
607063,"Acmella"
610574,"Acmella leptophylla"
715604,"Acmispon"
717052,"Acmispon americanus"
188767,"Aconitum"
80007,"Aconitum anthora"
788895,"Aconitum carmichaelii"
80034,"Aconitum lycoctonum"
130772,"Aconitum lycoctonum subsp. neapolitanum"
998925,"Aconitum lycoctonum subsp. vulparia"
80037,"Aconitum napellus"
618651,"Aconitum napellus subsp. burnatii"
130784,"Aconitum napellus subsp. corsicum"
130787,"Aconitum napellus subsp. lusitanicum"
130788,"Aconitum napellus subsp. napellus"
130792,"Aconitum napellus subsp. vulgare"
80066,"Aconitum variegatum"
718205,"Aconitum variegatum nothosubsp. oenipontanum"
130802,"Aconitum variegatum subsp. paniculatum"
130803,"Aconitum variegatum subsp. pyrenaicum"
130805,"Aconitum variegatum subsp. valesiacum"
80073,"Aconitum x cammarum"
610740,"Aconitum x molle"
80082,"Aconitum x zahlbruckneri"
187428,"Acoraceae"
593946,"Acorales"
188769,"Acorus"
80086,"Acorus calamus"
188242,"Acrochaetiaceae"
188209,"Acrochaetiales"
349681,"Acrochaetium"
366057,"Acrochaetium alariae"
851065,"Acrochaetium armoricanum"
850734,"Acrochaetium boergesenii"
366064,"Acrochaetium cheminii"
366055,"Acrochaetium duboscqii"
77236,"Acrochaetium endozoicum"
366049,"Acrochaetium hauckii"
366056,"Acrochaetium humile"
366067,"Acrochaetium immersum"
627629,"Acrochaetium immersum f. polysiphoniae"
542709,"Acrochaetium irregulare"
627523,"Acrochaetium kuckuckianum"
627540,"Acrochaetium laminariae"
366063,"Acrochaetium lorrain-smithiae"
648615,"Acrochaetium mahumetanum"
627524,"Acrochaetium maluinum"
366104,"Acrochaetium mediterraneum"
366078,"Acrochaetium microscopicum"
366081,"Acrochaetium molinieri"
366082,"Acrochaetium moniliforme"
366102,"Acrochaetium parvulum"
627541,"Acrochaetium pusillum"
366089,"Acrochaetium reductum"
669527,"Acrochaetium rosulatum"
77238,"Acrochaetium secundatum"
932455,"Acrochaetium sparsum"
924610,"Acrochaetium spathoglossi"
648617,"Acrochaetium spermatochni"
366099,"Acrochaetium stilophorae"
366100,"Acrochaetium subpinnatum"
366101,"Acrochaetium subseriatum"
366105,"Acrochaetium unifilum"
353797,"Acrodiscus"
368859,"Acrodiscus vidovichii"
349683,"Acrosiphonia"
366118,"Acrosiphonia arcta"
366119,"Acrosiphonia arctiuscula"
72436,"Acrosiphonia spinescens"
354567,"Acrosorium"
542593,"Acrosorium ciliolatum"
351530,"Acrosymphytaceae"
830282,"Acrosymphytales"
357356,"Acrosymphyton"
378147,"Acrosymphyton purpuriferum"
354026,"Acrothamnion"
369355,"Acrothamnion preissii"
188786,"Actaea"
80137,"Actaea spicata"
188796,"Actinastrum"
653313,"Actinastrum aciculare"
73404,"Actinastrum hantzschii"
653314,"Actinastrum hantzschii var. subtile"
609584,"Actinidia"
80140,"Actinidia deliciosa"
703265,"Actinidiaceae"
976289,"Actinidioideae"
1030416,"Actinostroboideae"
188805,"Actinotaenium"
719920,"Actinotaenium capax"
719922,"Actinotaenium capax var. minus"
999292,"Actinotaenium clevei"
670118,"Actinotaenium colpopelta"
653283,"Actinotaenium cruciferum"
627011,"Actinotaenium cucurbita"
627012,"Actinotaenium cucurbitinum"
720029,"Actinotaenium cucurbitinum f. minus"
1019539,"Actinotaenium cucurbitinum var. longum"
894913,"Actinotaenium cucurbitinum var. minutum"
73409,"Actinotaenium curtum"
720953,"Actinotaenium curtum f. minus"
652714,"Actinotaenium didymocarpum"
627013,"Actinotaenium diplosporum"
652715,"Actinotaenium diplosporum f. majus"
652716,"Actinotaenium geniculatum"
648950,"Actinotaenium globosum"
648952,"Actinotaenium globosum f. minus"
652717,"Actinotaenium inconspicuum"
652718,"Actinotaenium inconspicuum var. curvatum"
652719,"Actinotaenium kriegeri"
652720,"Actinotaenium messikommeri"
835185,"Actinotaenium minutissimum"
652721,"Actinotaenium mooreanum"
652722,"Actinotaenium obcuneatum"
652723,"Actinotaenium palangula"
652724,"Actinotaenium perminutum"
73412,"Actinotaenium phymatosporum"
652725,"Actinotaenium pinicola"
652727,"Actinotaenium rufescens"
652729,"Actinotaenium silvae-nigrae"
652730,"Actinotaenium silvae-nigrae var. parallelum"
626979,"Actinotaenium spinospermum"
652731,"Actinotaenium subtile"
73413,"Actinotaenium truncatum"
